ADMIN,ISO_A3,ADMIN_2,ISO_A3_2,distance,cent_lat,cent_lon,coast_lat,coast_lon
Chad,TCD,Chad,TCD,14.29837701108507,15,18.6462511140,4.1356875670,9.7545679050
Kuwait,KWT,Kuwait,KWT,0.11259248188052,29,47.5946235688,29.3636327910,47.7047169330
El Salvador,SLV,El Salvador,SLV,0.41170403841027,14,-88.8710325221,13.3825920502,-89.0824783890
Guatemala,GTM,Guatemala,GTM,1.45302161031569,16,-90.3601568359,15.9590518250,-88.9311417310
East Timor,TLS,East Timor,TLS,0.29945114385298,-9,125.8510755707,-9.1226539040,125.8696395190
Brunei,BRN,Brunei,BRN,0.26518967983568,5,114.7272457522,4.7056601270,114.5413852374
Monaco,MCO,Monaco,MCO,0.02098340407002,44,7.3989743248,43.7309038250,7.4179568800
Algeria,DZA,Algeria,DZA,8.25930308898165,28,2.6530913768,35.1296247420,-1.7611384760
Mozambique,MOZ,Mozambique,MOZ,1.43015899313187,-17,35.5381055325,-17.8776180970,36.8327742850
eSwatini,SWZ,eSwatini,SWZ,1.14618391854115,-27,31.4800241030,-26.0031877580,32.4808048840
Burundi,BDI,Burundi,BDI,9.28745193829837,-3,29.8750826944,-5.8371721330,38.8253686860
Rwanda,RWA,Rwanda,RWA,9.64352120457103,-2,29.9190607046,-4.9165992170,39.1086531910
Myanmar,MMR,Myanmar,MMR,3.01568093099070,21,96.4892895408,19.9165713560,93.7453719410
Bangladesh,BGD,Bangladesh,BGD,0.35204306878744,24,90.2419998395,23.5829531920,90.4763289720
Andorra,AND,Andorra,AND,1.48367972244730,43,1.5607562411,42.6290550800,3.0418400400
Afghanistan,AFG,Afghanistan,AFG,8.21878961577521,34,66.0084476872,25.6256778020,66.3754988940
Montenegro,MNE,Montenegro,MNE,0.62891208215851,43,19.2385000072,42.4828962260,18.6873478520
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,BIH,1.17335615596505,44,17.7734080203,43.4011904970,16.8885197270
Uganda,UGA,Uganda,UGA,8.79044480435007,1,32.3670398527,-2.7626278630,40.1749780610
,,,,0.00856680200943,,,19.9213560675,-75.1513539094
Cuba,CUB,Cuba,CUB,0.03562033679538,22,-79.0352117566,21.5896834461,-79.0345727788
Honduras,HND,Honduras,HND,0.97044720459407,15,-86.6252268333,15.7886416690,-86.6990860670
Ecuador,ECU,Ecuador,ECU,1.14962807992414,-1,-78.7722823112,-2.0049781230,-79.7656143870
